tourney_name,tourney_date,tourney_level,surface,draw_size,round,best_of,minutes,score,player_name,player_rank,player_rank_points,player_age,opponent_rank,opponent_rank_points,win,rank_diff,match_load_7,match_load_14,fatigue_score_7,fatigue_score_14
Doha,2023-02-20,A,Hard,32,R32,3,110.0,6-3 3-6 6-4,Abedallah Shelbayh,276.0,190.0,19.2,68.0,764.0,0,208.0,0,0,0.0,0.0
Banja Luka,2023-04-17,A,Clay,32,R32,3,91.0,6-1 7-5,Abedallah Shelbayh,267.0,201.0,19.4,139.0,419.0,1,128.0,0,0,0.0,0.0
Banja Luka,2023-04-17,A,Clay,32,R16,3,124.0,6-4 7-6(4),Abedallah Shelbayh,267.0,201.0,19.4,33.0,1125.0,0,234.0,1,1,0.1,0.06666666666666667
Madrid Masters,2023-04-24,M,Clay,128,R128,3,83.0,6-1 6-4,Abedallah Shelbayh,243.0,233.0,19.4,67.0,767.0,0,176.0,2,2,0.2,0.13333333333333333
Mallorca,2023-06-26,A,Grass,32,R32,3,74.0,6-1 6-4,Abedallah Shelbayh,240.0,238.0,19.6,94.0,631.0,0,146.0,0,0,0.0,0.0
Newport,2023-07-17,A,Grass,32,R32,3,88.0,6-3 6-4,Abedallah Shelbayh,240.0,249.0,19.6,116.0,556.0,0,124.0,0,0,0.0,0.0
Metz,2023-11-06,A,Hard,32,R32,3,111.0,7-6(5) 6-2,Abedallah Shelbayh,215.0,294.0,19.9,83.0,701.0,1,132.0,0,0,0.0,0.0
Metz,2023-11-06,A,Hard,32,R16,3,93.0,6-3 7-5,Abedallah Shelbayh,215.0,294.0,19.9,49.0,955.0,0,166.0,1,1,0.1,0.06666666666666667
Next Gen Finals,2023-11-27,F,Hard,8,RR,5,67.0,4-2 1-4 4-0 4-0,Abedallah Shelbayh,185.0,326.0,20.0,97.0,653.0,1,88.0,0,0,0.0,0.0
Next Gen Finals,2023-11-27,F,Hard,8,RR,5,114.0,4-3(5) 3-4(5) 4-1 4-1,Abedallah Shelbayh,185.0,326.0,20.0,70.0,756.0,0,115.0,1,1,0.1,0.06666666666666667
Next Gen Finals,2023-11-27,F,Hard,8,RR,5,92.0,3-4(6) 4-2 4-3(5) 4-2,Abedallah Shelbayh,185.0,326.0,20.0,110.0,582.0,0,75.0,2,2,0.2,0.13333333333333333
Doha,2024-02-19,A,Hard,32,R32,3,120.0,3-6 6-3 6-4,Abedallah Shelbayh,230.0,265.0,20.2,46.0,997.0,0,184.0,0,0,0.0,0.0
Dubai,2024-02-26,A,Hard,32,R32,3,62.0,7-5 2-0 RET,Abedallah Shelbayh,228.0,265.0,20.2,28.0,1440.0,0,200.0,1,1,0.1,0.06666666666666667
Marrakech,2024-04-01,A,Clay,32,R32,3,71.0,6-1 6-4,Abedallah Shelbayh,230.0,265.0,20.3,63.0,865.0,0,167.0,0,0,0.0,0.0
Marrakech,2023-04-03,A,Clay,32,R32,3,96.0,6-4 7-6(6),Adam Moundir,720.0,33.0,27.9,157.0,376.0,0,563.0,0,0,0.0,0.0
Davis Cup WG2 R1: IND vs MAR,2023-09-16,D,Hard,4,RR,3,101.0,6-3 6-3,Adam Moundir,779.0,29.0,28.3,156.0,397.0,0,623.0,0,0,0.0,0.0
Dallas,2024-02-05,A,Hard,32,R32,3,78.0,6-3 6-1,Adam Neff,829.0,23.0,22.6,44.0,1022.0,0,785.0,0,0,0.0,0.0
Adelaide,2024-01-08,A,Hard,32,R32,3,70.0,6-1 6-3,Adam Walton,176.0,348.0,24.7,32.0,1337.0,0,144.0,0,0,0.0,0.0
Australian Open,2024-01-15,G,Hard,128,R128,5,156.0,7-6(5) 6-2 6-4,Adam Walton,174.0,354.0,24.7,41.0,1077.0,0,133.0,1,1,0.1,0.06666666666666667
Miami Masters,2024-03-18,M,Hard,128,R128,3,120.0,7-5 6-4,Adam Walton,150.0,445.0,24.9,36.0,1165.0,0,114.0,0,0,0.0,0.0
Roland Garros,2024-05-27,G,Clay,128,R128,5,169.5,6-2 6-4 7-5,Adam Walton,96.0,635.0,25.1,69.0,772.0,0,27.0,0,0,0.0,0.0
Mallorca,2024-06-24,A,Grass,32,R32,3,100.0,7-5 6-2,Adam Walton,107.0,594.0,25.1,95.0,626.0,1,12.0,0,0,0.0,0.0
Mallorca,2024-06-24,A,Grass,32,R16,3,55.0,6-0 6-3,Adam Walton,107.0,594.0,25.1,289.0,191.0,0,-182.0,1,1,0.1,0.06666666666666667
Wimbledon,2024-07-01,G,Grass,128,R128,5,125.0,6-3 6-3 7-5,Adam Walton,101.0,607.0,25.2,72.0,776.0,1,29.0,2,2,0.2,0.13333333333333333
Wimbledon,2024-07-01,G,Grass,128,R64,5,248.0,7-5 1-6 6-7(12) 6-1 7-6(8),Adam Walton,101.0,607.0,25.2,122.0,529.0,0,-21.0,3,3,0.3,0.2
Atlanta,2024-07-22,A,Hard,32,R32,3,78.0,6-4 6-4,Adam Walton,95.0,648.0,25.2,52.0,935.0,1,43.0,0,0,0.0,0.0
Atlanta,2024-07-22,A,Hard,32,R16,3,92.0,7-6(4) 6-3,Adam Walton,95.0,648.0,25.2,64.0,806.0,0,31.0,1,1,0.1,0.06666666666666667
Washington,2024-07-29,A,Hard,64,R64,3,123.0,7-6(6) 7-6(4),Adam Walton,89.0,671.0,25.2,175.0,343.0,0,-86.0,2,2,0.2,0.13333333333333333
Winston-Salem,2024-08-19,A,Hard,64,R64,3,124.0,2-6 7-5 6-4,Adam Walton,96.0,601.0,25.3,120.0,495.0,0,-24.0,0,0,0.0,0.0
US Open,2024-08-26,G,Hard,128,R128,5,183.0,3-6 7-6(7) 6-3 6-4,Adam Walton,95.0,601.0,25.3,77.0,732.0,0,18.0,1,1,0.1,0.06666666666666667
Chengdu,2024-09-18,A,Hard,28,R32,3,100.0,7-6(3) 6-4,Adam Walton,94.0,604.0,25.4,127.0,468.0,0,-33.0,0,0,0.0,0.0
Davis Cup WG1 PO: COL vs LUX,2024-02-02,D,Clay,4,RR,3,107.0,6-3 7-6(5),Adria Soriano Barrera,593.0,59.0,24.6,648.0,50.0,1,-55.0,0,0,0.0,0.0
Davis Cup WG1 PO: COL vs LUX,2024-02-02,D,Clay,4,RR,3,125.0,6-4 2-6 6-4,Adria Soriano Barrera,593.0,59.0,24.6,500.0,80.0,0,93.0,1,1,0.1,0.06666666666666667
Davis Cup WG1 R1: JPN vs COL,2024-09-14,D,Hard,4,RR,3,101.0,6-2 6-4,Adria Soriano Barrera,460.0,91.0,25.2,54.0,974.0,0,406.0,0,0,0.0,0.0
Melbourne,2022-01-03,A,Hard,32,R32,3,82.0,6-4 6-3,Adrian Mannarino,71.0,879.0,33.5,57.0,1034.0,0,14.0,0,0,0.0,0.0
Sydney,2022-01-10,A,Hard,32,R32,3,82.0,6-3 7-5,Adrian Mannarino,70.0,879.0,33.5,75.0,838.0,0,-5.0,1,1,0.1,0.06666666666666667
Australian Open,2022-01-17,G,Hard,128,R128,5,188.0,6-4 2-6 3-6 6-2 6-1,Adrian Mannarino,69.0,879.0,33.5,49.0,1166.0,1,20.0,1,2,0.1,0.13333333333333333
Australian Open,2022-01-17,G,Hard,128,R64,5,123.0,6-4 6-2 6-3,Adrian Mannarino,69.0,879.0,33.5,11.0,3336.0,1,58.0,2,3,0.2,0.2
Australian Open,2022-01-17,G,Hard,128,R32,5,278.0,7-6(4) 6-7(4) 7-5 6-4,Adrian Mannarino,69.0,879.0,33.5,15.0,2553.0,1,54.0,3,4,0.3,0.26666666666666666
Australian Open,2022-01-17,G,Hard,128,R16,5,160.0,7-6(14) 6-2 6-2,Adrian Mannarino,69.0,879.0,33.5,5.0,4875.0,0,64.0,4,5,0.4,0.3333333333333333
Montpellier,2022-01-31,A,Hard,32,R16,3,89.0,6-4 6-2,Adrian Mannarino,58.0,1049.0,33.5,52.0,1141.0,1,6.0,0,4,0.0,0.26666666666666666
Montpellier,2022-01-31,A,Hard,32,R32,3,67.0,6-2 6-4,Adrian Mannarino,58.0,1049.0,33.5,47.0,1160.0,1,11.0,1,5,0.1,0.3333333333333333
Montpellier,2022-01-31,A,Hard,32,QF,3,50.0,6-1 6-0,Adrian Mannarino,58.0,1049.0,33.5,3.0,7780.0,0,55.0,2,6,0.2,0.4
Dallas,2022-02-07,A,Hard,32,R16,3,66.0,6-3 6-1,Adrian Mannarino,57.0,1074.0,33.6,108.0,640.0,1,-51.0,3,3,0.3,0.2
Dallas,2022-02-07,A,Hard,32,R32,3,144.0,6-7(2) 6-2 7-6(2),Adrian Mannarino,57.0,1074.0,33.6,93.0,719.0,1,-36.0,4,4,0.4,0.26666666666666666
Dallas,2022-02-07,A,Hard,32,QF,3,55.0,6-3 6-4,Adrian Mannarino,57.0,1074.0,33.6,23.0,1846.0,0,34.0,5,5,0.5,0.3333333333333333
Delray Beach,2022-02-14,A,Hard,32,R16,3,183.0,6-4 2-6 7-5,Adrian Mannarino,53.0,1109.0,33.6,81.0,818.0,1,-28.0,3,6,0.3,0.4
Delray Beach,2022-02-14,A,Hard,32,R32,3,87.0,6-2 6-3,Adrian Mannarino,53.0,1109.0,33.6,116.0,611.0,1,-63.0,4,7,0.4,0.4666666666666667
Delray Beach,2022-02-14,A,Hard,32,QF,3,125.0,7-6(2) 3-6 6-1,Adrian Mannarino,53.0,1109.0,33.6,20.0,2051.0,0,33.0,5,8,0.5,0.5333333333333333
Acapulco,2022-02-21,A,Hard,32,R32,3,92.0,6-3 6-3,Adrian Mannarino,55.0,1064.0,33.6,16.0,2265.0,0,39.0,3,6,0.3,0.4
Davis Cup QLS R1: FRA vs ECU,2022-03-04,D,Hard,4,RR,3,119.0,6-4 4-6 6-1,Adrian Mannarino,58.0,994.0,33.6,381.0,107.0,1,-323.0,0,1,0.0,0.06666666666666667
Indian Wells Masters,2022-03-07,M,Hard,128,R128,3,99.0,6-2 7-6(4),Adrian Mannarino,66.0,904.0,33.6,80.0,793.0,0,-14.0,1,2,0.1,0.13333333333333333
Miami Masters,2022-03-21,M,Hard,128,R128,3,92.0,7-6(3) 6-3,Adrian Mannarino,61.0,904.0,33.7,102.0,673.0,0,-41.0,0,1,0.0,0.06666666666666667
Barcelona,2022-04-18,A,Clay,64,R64,3,110.0,2-6 6-3 6-4,Adrian Mannarino,70.0,869.0,33.8,155.0,402.0,0,-85.0,0,0,0.0,0.0
Lyon,2022-05-16,A,Clay,32,R32,3,136.0,7-6(7) 6-4,Adrian Mannarino,73.0,838.0,33.8,39.0,1128.0,1,34.0,0,0,0.0,0.0
Lyon,2022-05-16,A,Clay,32,R16,3,107.0,6-4 6-3,Adrian Mannarino,73.0,838.0,33.8,40.0,1089.0,0,33.0,1,1,0.1,0.06666666666666667
Roland Garros,2022-05-23,G,Clay,128,R128,5,169.5,6-1 7-6(1) 6-2,Adrian Mannarino,69.0,858.0,33.8,65.0,894.0,0,4.0,2,2,0.2,0.13333333333333333
's-Hertogenbosch,2022-06-06,A,Grass,32,QF,3,123.0,6-7(5) 6-1 6-4,Adrian Mannarino,70.0,858.0,33.9,64.0,932.0,1,6.0,0,1,0.0,0.06666666666666667
's-Hertogenbosch,2022-06-06,A,Grass,32,R16,3,80.0,6-2 6-3,Adrian Mannarino,70.0,858.0,33.9,22.0,1825.0,1,48.0,1,2,0.1,0.13333333333333333
's-Hertogenbosch,2022-06-06,A,Grass,32,R32,3,127.0,7-6(4) 7-6(9),Adrian Mannarino,70.0,858.0,33.9,141.0,466.0,1,-71.0,2,3,0.2,0.2
's-Hertogenbosch,2022-06-06,A,Grass,32,SF,3,116.0,7-5 7-5,Adrian Mannarino,70.0,858.0,33.9,2.0,8160.0,0,68.0,3,4,0.3,0.26666666666666666
Eastbourne,2022-06-20,A,Grass,32,R32,3,81.0,6-4 6-3,Adrian Mannarino,73.0,778.0,33.9,33.0,1201.0,0,40.0,0,4,0.0,0.26666666666666666
Wimbledon,2022-06-27,G,Grass,128,R128,5,233.0,6-3 7-6(0) 4-6 4-6 6-4,Adrian Mannarino,86.0,665.0,33.9,209.0,272.0,1,-123.0,1,1,0.1,0.06666666666666667
Wimbledon,2022-06-27,G,Grass,128,R64,5,119.0,6-2 6-4 6-1,Adrian Mannarino,86.0,665.0,33.9,32.0,1208.0,0,54.0,2,2,0.2,0.13333333333333333
Newport,2022-07-11,A,Grass,32,R32,3,126.0,6-3 1-6 7-5,Adrian Mannarino,82.0,655.0,34.0,202.0,270.0,0,-120.0,0,2,0.0,0.13333333333333333
Atlanta,2022-07-25,A,Hard,32,R16,3,85.0,7-5 6-3,Adrian Mannarino,78.0,655.0,34.0,736.0,24.0,1,-658.0,0,1,0.0,0.06666666666666667
Atlanta,2022-07-25,A,Hard,32,R32,3,92.0,6-3 7-6(7),Adrian Mannarino,78.0,655.0,34.0,88.0,607.0,1,-10.0,1,2,0.1,0.13333333333333333
Atlanta,2022-07-25,A,Hard,32,QF,3,131.0,4-6 6-3 6-0,Adrian Mannarino,78.0,655.0,34.0,30.0,1345.0,0,48.0,2,3,0.2,0.2
Washington,2022-08-01,A,Hard,64,R64,3,77.0,6-2 6-4,Adrian Mannarino,67.0,696.0,34.0,808.0,18.0,1,-741.0,3,3,0.3,0.2
Washington,2022-08-01,A,Hard,64,R32,3,122.0,6-1 3-6 7-5,Adrian Mannarino,67.0,696.0,34.0,19.0,1730.0,0,48.0,4,4,0.4,0.26666666666666666
Canada Masters,2022-08-08,M,Hard,64,R64,3,76.0,6-3 6-3,Adrian Mannarino,70.0,671.0,34.1,67.0,695.0,1,3.0,2,5,0.2,0.3333333333333333
Canada Masters,2022-08-08,M,Hard,64,R32,3,125.0,2-6 6-4 6-2,Adrian Mannarino,70.0,671.0,34.1,12.0,2895.0,0,58.0,3,6,0.3,0.4
Winston-Salem,2022-08-22,A,Hard,64,F,3,104.0,7-6(1) 6-4,Adrian Mannarino,65.0,741.0,34.1,89.0,597.0,1,-24.0,0,2,0.0,0.13333333333333333
Winston-Salem,2022-08-22,A,Hard,64,SF,3,75.0,6-0 6-4,Adrian Mannarino,65.0,741.0,34.1,23.0,1503.0,1,42.0,1,3,0.1,0.2
Winston-Salem,2022-08-22,A,Hard,64,QF,3,92.0,6-4 7-6(3),Adrian Mannarino,65.0,741.0,34.1,34.0,1294.0,1,31.0,2,4,0.2,0.26666666666666666
Winston-Salem,2022-08-22,A,Hard,64,R16,3,85.0,6-3 6-3,Adrian Mannarino,65.0,741.0,34.1,42.0,1050.0,1,23.0,3,5,0.3,0.3333333333333333
Winston-Salem,2022-08-22,A,Hard,64,R32,3,87.0,6-4 6-1,Adrian Mannarino,65.0,741.0,34.1,44.0,1026.0,1,21.0,4,6,0.4,0.4
Winston-Salem,2022-08-22,A,Hard,64,R64,3,210.0,7-6(4) 6-7(3) 7-6(3),Adrian Mannarino,65.0,741.0,34.1,121.0,460.0,1,-56.0,5,7,0.5,0.4666666666666667
US Open,2022-08-29,G,Hard,128,R128,5,119.0,6-3 6-4 6-4,Adrian Mannarino,45.0,991.0,34.1,181.0,295.0,0,-136.0,6,6,0.6,0.4
Davis Cup Finals RR: FRA vs GER,2022-09-14,D,Hard,2,RR,3,101.0,6-4 6-3,Adrian Mannarino,47.0,956.0,34.2,52.0,875.0,1,-5.0,0,0,0.0,0.0
Metz,2022-09-19,A,Hard,32,R32,3,106.0,7-5 6-0,Adrian Mannarino,47.0,956.0,34.2,100.0,540.0,0,-53.0,1,1,0.1,0.06666666666666667
Tel Aviv,2022-09-26,A,Hard,32,R32,3,114.0,7-6(2) 6-4,Adrian Mannarino,51.0,956.0,34.2,68.0,722.0,0,-17.0,1,2,0.1,0.13333333333333333
Astana,2022-10-03,A,Hard,32,R16,3,135.0,3-6 6-1 7-5,Adrian Mannarino,51.0,956.0,34.2,66.0,770.0,1,-15.0,1,2,0.1,0.13333333333333333
Astana,2022-10-03,A,Hard,32,R32,3,88.0,1-6 6-2 6-3,Adrian Mannarino,51.0,956.0,34.2,191.0,277.0,1,-140.0,2,3,0.2,0.2
Astana,2022-10-03,A,Hard,32,QF,3,55.0,6-1 6-2,Adrian Mannarino,51.0,956.0,34.2,9.0,3345.0,0,42.0,3,4,0.3,0.26666666666666666
Naples,2022-10-17,A,Hard,32,R32,3,118.0,6-1 3-6 6-4,Adrian Mannarino,42.0,1036.0,34.2,57.0,826.0,0,-15.0,0,3,0.0,0.2
Basel,2022-10-24,A,Hard,32,R32,3,168.0,6-4 4-6 6-4,Adrian Mannarino,42.0,991.0,34.3,35.0,1252.0,0,7.0,1,1,0.1,0.06666666666666667
Paris Masters,2022-10-31,M,Hard,64,R64,3,108.0,7-6(5) 6-4,Adrian Mannarino,43.0,991.0,34.3,10.0,3220.0,0,33.0,1,2,0.1,0.13333333333333333
United Cup,2023-01-02,T,Hard,18,RR,3,62.0,6-1 6-0,Adrian Mannarino,46.0,946.0,34.5,75.0,695.0,1,-29.0,0,0,0.0,0.0
United Cup,2023-01-02,T,Hard,18,RR,3,170.0,7-6(5) 3-6 7-6(5),Adrian Mannarino,46.0,946.0,34.5,144.0,381.0,0,-98.0,1,1,0.1,0.06666666666666667
Auckland,2023-01-09,A,Hard,32,R32,3,109.0,6-4 7-6(4),Adrian Mannarino,43.0,971.0,34.5,66.0,746.0,0,-23.0,2,2,0.2,0.13333333333333333
Australian Open,2023-01-16,G,Hard,128,R128,5,183.0,6-7(5) 7-6(8) 6-2 6-2,Adrian Mannarino,45.0,971.0,34.5,43.0,980.0,1,2.0,1,3,0.1,0.2
Australian Open,2023-01-16,G,Hard,128,R64,5,208.0,7-6(3) 4-6 6-4 6-1,Adrian Mannarino,45.0,971.0,34.5,24.0,1710.0,0,21.0,2,4,0.2,0.26666666666666666
Davis Cup QLS R1: FRA vs HUN,2023-02-03,D,Hard,4,RR,3,101.0,7-6(6) 6-2,Adrian Mannarino,58.0,836.0,34.5,71.0,767.0,1,-13.0,0,0,0.0,0.0
Dallas,2023-02-06,A,Hard,32,R16,3,105.0,6-2 7-6(3),Adrian Mannarino,63.0,791.0,34.6,84.0,604.0,1,-21.0,1,1,0.1,0.06666666666666667
Dallas,2023-02-06,A,Hard,32,R32,3,92.0,7-6(6) 6-2,Adrian Mannarino,63.0,791.0,34.6,120.0,448.0,1,-57.0,2,2,0.2,0.13333333333333333
Dallas,2023-02-06,A,Hard,32,QF,3,73.0,6-3 6-4,Adrian Mannarino,63.0,791.0,34.6,97.0,544.0,0,-34.0,3,3,0.3,0.2
Delray Beach,2023-02-13,A,Hard,32,R16,3,107.0,7-5 6-2,Adrian Mannarino,59.0,791.0,34.6,39.0,996.0,1,20.0,3,4,0.3,0.26666666666666666
Delray Beach,2023-02-13,A,Hard,32,R32,3,145.0,4-6 6-3 6-4,Adrian Mannarino,59.0,791.0,34.6,97.0,559.0,1,-38.0,4,5,0.4,0.3333333333333333
Delray Beach,2023-02-13,A,Hard,32,QF,3,110.0,7-6(8) 6-4,Adrian Mannarino,59.0,791.0,34.6,7.0,3455.0,0,52.0,5,6,0.5,0.4
Acapulco,2023-02-27,A,Hard,32,R32,3,153.0,5-7 6-3 6-4,Adrian Mannarino,64.0,791.0,34.6,170.0,340.0,0,-106.0,0,3,0.0,0.2
Indian Wells Masters,2023-03-06,M,Hard,128,R64,3,136.0,6-4 6-4,Adrian Mannarino,68.0,791.0,34.6,21.0,1855.0,1,47.0,1,1,0.1,0.06666666666666667
Indian Wells Masters,2023-03-06,M,Hard,128,R128,3,163.0,4-6 6-4 7-6(5),Adrian Mannarino,68.0,791.0,34.6,102.0,550.0,1,-34.0,2,2,0.2,0.13333333333333333
Indian Wells Masters,2023-03-06,M,Hard,128,R32,3,107.0,7-6(7) 6-4,Adrian Mannarino,68.0,791.0,34.6,13.0,2655.0,0,55.0,3,3,0.3,0.2
Miami Masters,2023-03-20,M,Hard,128,R32,3,138.0,7-6(5) 7-6(0),Adrian Mannarino,62.0,826.0,34.7,9.0,3065.0,1,53.0,0,3,0.0,0.2
Miami Masters,2023-03-20,M,Hard,128,R64,3,112.0,6-4 3-6 6-1,Adrian Mannarino,62.0,826.0,34.7,39.0,989.0,1,23.0,1,4,0.1,0.26666666666666666
Miami Masters,2023-03-20,M,Hard,128,R128,3,115.0,1-6 6-4 6-2,Adrian Mannarino,62.0,826.0,34.7,181.0,323.0,1,-119.0,2,5,0.2,0.3333333333333333
Miami Masters,2023-03-20,M,Hard,128,R16,3,131.0,7-6(2) 7-6(5),Adrian Mannarino,62.0,826.0,34.7,119.0,479.0,0,-57.0,3,6,0.3,0.4
Madrid Masters,2023-04-24,M,Clay,128,R128,3,72.0,6-4 6-0,Adrian Mannarino,46.0,917.0,34.8,59.0,814.0,0,-13.0,0,0,0.0,0.0
Rome Masters,2023-05-08,M,Clay,128,R128,3,68.0,6-1 6-2,Adrian Mannarino,45.0,927.0,34.8,98.0,627.0,0,-53.0,0,1,0.0,0.06666666666666667
Geneva,2023-05-22,A,Clay,32,R32,3,80.0,7-5 6-1,Adrian Mannarino,47.0,917.0,34.8,92.0,661.0,1,-45.0,0,1,0.0,0.06666666666666667
Geneva,2023-05-22,A,Clay,32,R16,3,158.0,6-4 4-6 6-3,Adrian Mannarino,47.0,917.0,34.8,86.0,696.0,0,-39.0,1,2,0.1,0.13333333333333333
Roland Garros,2023-05-29,G,Clay,128,R128,5,113.0,6-3 6-3 6-1,Adrian Mannarino,47.0,937.0,34.9,40.0,1026.0,0,7.0,2,2,0.2,0.13333333333333333
's-Hertogenbosch,2023-06-12,A,Grass,32,R16,3,119.0,4-6 6-4 6-2,Adrian Mannarino,52.0,847.0,34.9,3.0,6100.0,1,49.0,0,1,0.0,0.06666666666666667
's-Hertogenbosch,2023-06-12,A,Grass,32,R32,3,100.0,7-6(1) 6-4,Adrian Mannarino,52.0,847.0,34.9,66.0,790.0,1,-14.0,1,2,0.1,0.13333333333333333
's-Hertogenbosch,2023-06-12,A,Grass,32,QF,3,152.0,5-7 7-6(2) 6-2,Adrian Mannarino,52.0,847.0,34.9,103.0,593.0,0,-51.0,2,3,0.2,0.2
Queen's Club,2023-06-19,A,Grass,32,R16,3,98.0,6-4 7-6(7),Adrian Mannarino,46.0,892.0,34.9,8.0,3515.0,1,38.0,3,3,0.3,0.2
Queen's Club,2023-06-19,A,Grass,32,R32,3,124.0,1-6 6-4 6-3,Adrian Mannarino,46.0,892.0,34.9,143.0,408.0,1,-97.0,4,4,0.4,0.26666666666666666
Queen's Club,2023-06-19,A,Grass,32,QF,3,143.0,6-4 4-6 6-4,Adrian Mannarino,46.0,892.0,34.9,18.0,1905.0,0,28.0,5,5,0.5,0.3333333333333333
Mallorca,2023-06-26,A,Grass,32,SF,3,110.0,7-6(4) 6-4,Adrian Mannarino,43.0,972.0,34.9,48.0,880.0,1,-5.0,3,6,0.3,0.4
Mallorca,2023-06-26,A,Grass,32,QF,3,107.0,7-5 6-2,Adrian Mannarino,43.0,972.0,34.9,80.0,723.0,1,-37.0,4,7,0.4,0.4666666666666667
Mallorca,2023-06-26,A,Grass,32,R16,3,151.0,3-6 7-6(5) 6-3,Adrian Mannarino,43.0,972.0,34.9,334.0,150.0,1,-291.0,5,8,0.5,0.5333333333333333
Mallorca,2023-06-26,A,Grass,32,F,3,62.0,6-1 6-4,Adrian Mannarino,43.0,972.0,34.9,77.0,738.0,0,-34.0,6,9,0.6,0.6
Wimbledon,2023-07-03,G,Grass,128,R128,5,90.0,6-3 6-3 6-2,Adrian Mannarino,35.0,1112.0,35.0,97.0,623.0,1,-62.0,4,7,0.4,0.4666666666666667
Wimbledon,2023-07-03,G,Grass,128,R64,5,144.0,6-3 6-3 7-6(5),Adrian Mannarino,35.0,1112.0,35.0,3.0,5890.0,0,32.0,5,8,0.5,0.5333333333333333
Newport,2023-07-17,A,Grass,32,F,3,82.0,6-2 6-4,Adrian Mannarino,38.0,1146.0,35.0,190.0,308.0,1,-152.0,0,2,0.0,0.13333333333333333
Newport,2023-07-17,A,Grass,32,SF,3,106.0,6-4 6-3,Adrian Mannarino,38.0,1146.0,35.0,40.0,1036.0,1,-2.0,1,3,0.1,0.2
Newport,2023-07-17,A,Grass,32,QF,3,164.0,6-0 6-7(4) 6-2,Adrian Mannarino,38.0,1146.0,35.0,69.0,798.0,1,-31.0,2,4,0.2,0.26666666666666666
Newport,2023-07-17,A,Grass,32,R16,3,106.0,6-3 6-4,Adrian Mannarino,38.0,1146.0,35.0,116.0,556.0,1,-78.0,3,5,0.3,0.3333333333333333
Washington,2023-07-31,A,Hard,64,R32,3,101.0,7-5 6-4,Adrian Mannarino,27.0,1345.0,35.0,71.0,827.0,0,-44.0,0,4,0.0,0.26666666666666666
Canada Masters,2023-08-07,M,Hard,64,R64,3,111.0,7-6(5) 6-4,Adrian Mannarino,30.0,1336.0,35.1,115.0,564.0,0,-85.0,1,1,0.1,0.06666666666666667
Cincinnati Masters,2023-08-14,M,Hard,64,R16,3,71.0,6-4 3-0 RET,Adrian Mannarino,32.0,1276.0,35.1,43.0,1040.0,1,-11.0,1,2,0.1,0.13333333333333333
Cincinnati Masters,2023-08-14,M,Hard,64,R32,3,118.0,6-4 6-4,Adrian Mannarino,32.0,1276.0,35.1,14.0,2510.0,1,18.0,2,3,0.2,0.2
Cincinnati Masters,2023-08-14,M,Hard,64,R64,3,87.0,6-4 6-3,Adrian Mannarino,32.0,1276.0,35.1,53.0,915.0,1,-21.0,3,4,0.3,0.26666666666666666
Cincinnati Masters,2023-08-14,M,Hard,64,QF,3,72.0,6-2 6-3,Adrian Mannarino,32.0,1276.0,35.1,17.0,2310.0,0,15.0,4,5,0.4,0.3333333333333333
US Open,2023-08-28,G,Hard,128,R128,5,215.0,7-5 6-7(3) 6-3 7-5,Adrian Mannarino,35.0,1206.0,35.1,85.0,686.0,1,-50.0,0,4,0.0,0.26666666666666666
US Open,2023-08-28,G,Hard,128,R64,5,133.0,3-6 6-3 6-4 6-1,Adrian Mannarino,35.0,1206.0,35.1,92.0,635.0,1,-57.0,1,5,0.1,0.3333333333333333
US Open,2023-08-28,G,Hard,128,R32,5,175.0,4-6 6-2 6-3 7-6(6),Adrian Mannarino,35.0,1206.0,35.1,10.0,3050.0,0,25.0,2,6,0.2,0.4
Davis Cup Finals RR: FRA vs SUI,2023-09-12,D,Hard,2,RR,3,101.0,3-6 6-1 6-4,Adrian Mannarino,34.0,1286.0,35.2,90.0,685.0,1,-56.0,0,0,0.0,0.0
Davis Cup Finals RR: AUS vs FRA,2023-09-14,D,Hard,2,RR,3,101.0,7-6(4) 6-4,Adrian Mannarino,34.0,1286.0,35.2,43.0,1047.0,1,-9.0,1,1,0.1,0.06666666666666667
Astana,2023-09-25,A,Hard,32,F,3,129.0,4-6 6-3 6-2,Adrian Mannarino,34.0,1286.0,35.2,28.0,1340.0,1,6.0,0,2,0.0,0.13333333333333333
Astana,2023-09-25,A,Hard,32,SF,3,70.0,6-4 6-2,Adrian Mannarino,34.0,1286.0,35.2,58.0,885.0,1,-24.0,1,3,0.1,0.2
Astana,2023-09-25,A,Hard,32,QF,3,104.0,6-1 7-6(6),Adrian Mannarino,34.0,1286.0,35.2,107.0,572.0,1,-73.0,2,4,0.2,0.26666666666666666
Astana,2023-09-25,A,Hard,32,R16,3,139.0,6-2 5-7 6-3,Adrian Mannarino,34.0,1286.0,35.2,315.0,178.0,1,-281.0,3,5,0.3,0.3333333333333333
Astana,2023-09-25,A,Hard,32,R32,3,116.0,7-6(4) 6-2,Adrian Mannarino,34.0,1286.0,35.2,66.0,826.0,1,-32.0,4,6,0.4,0.4
Shanghai Masters,2023-10-02,M,Hard,128,R64,3,92.0,6-2 6-2,Adrian Mannarino,23.0,1526.0,35.2,380.0,129.0,1,-357.0,5,5,0.5,0.3333333333333333
